,Term,ES,NES,NOM p-value,FDR p-value,Set size,Tag %,Rank %,Leading edge
140,Malaria Homo sapiens hsa05144,-0.29667825,-0.79017264,0.7631579,1.0,25,0.2,0.14755437,CD40;SDC1;PECAM1;TLR4;THBS2
141,Maturity onset diabetes of the young Homo sapiens hsa04950,-0.6084369,-1.5162861,0.05952381,1.0,17,0.1764706,0.03451347,NR5A2;PAX6;FOXA3
142,Measles Homo sapiens hsa05162,-0.28356895,-0.9501768,0.55192876,1.0,84,0.17857143,0.14146812,AKT3;PIK3R5;AKT2;STAT1;IFNGR1;TLR4;IL2RB;JAK3;HSPA1L;TP73;TNFRSF10D;OAS1;EIF2AK4;NFKBIA;STAT5B
143,Melanogenesis Homo sapiens hsa04916,-0.32484606,-1.0737869,0.35232383,1.0,80,0.3,0.2609664,MAPK1;GNAI1;KRAS;KIT;GNAS;MAP2K1;FZD6;ADCY8;ADCY3;MAP2K2;LEF1;CREB1;FZD10;ADCY9;EP300;GNAO1;WNT2B;PLCB4;CALM1;FZD9;CREB3;CALM3;ADCY1;WNT7B
128,Jak-STAT signaling pathway Homo sapiens hsa04630,-0.32452282,-1.1052788,0.2742857,1.0,96,0.13541667,0.10094263,STAT4;AKT3;PIK3R5;AKT2;STAT1;EPOR;IL2RB;JAK3;EPO;IL20RB;PIAS3;STAT5B;IL11
129,Legionellosis Homo sapiens hsa05134,-0.3663159,-1.0394648,0.4068376,1.0,35,0.34285715,0.14146812,HBS1L;BNIP3;CLK1;CASP3;CASP9;SEC22B;NLRC4;TLR4;HSPA1L;SAR1B;NFKBIA;RAB1A
130,Leishmaniasis Homo sapiens hsa05140,-0.2555075,-0.7590577,0.85984254,1.0,44,0.20454545,0.16306688,ITGB1;HLA-DMB;STAT1;IFNGR1;TLR4;TAB1;NCF2;NFKBIA;ITGA4
131,Leukocyte transendothelial migration Homo sapiens hsa04670,0.25634325,0.9391375,0.5821326,1.0,84,0.1904762,0.14124545,MYL7;CLDN11;ACTN4;PIK3R3;PRKCB;PTK2;MYL9;PTPN11;SIPA1;F11R;RASSF5;RAC2;VASP;PLCG2;CDC42;PIK3CB
132,Linoleic acid metabolism Homo sapiens hsa00591,0.3065017,0.72559667,0.81333333,1.0,12,0.25,0.23394938,PLA2G4A;CYP2J2;PLB1
133,Long-term depression Homo sapiens hsa04730,-0.40558577,-1.2201437,0.19743179,1.0,46,0.26086956,0.16551621,GNAI1;ARAF;LYN;CACNA1A;KRAS;ITPR3;MAP2K2;GNA13;GNAO1;PLCB4;RYR1;GUCY1A2
134,Long-term potentiation Homo sapiens hsa04720,-0.3533785,-1.0848349,0.31796503,1.0,51,0.3529412,0.2649744,MAPK1;ARAF;KRAS;PPP3CA;ITPR3;GRM1;RAP1B;MAP2K1;ADCY8;MAP2K2;RPS6KA6;EP300;ITPR2;PLCB4;CALM1;CALM3;ADCY1;PPP1R1A
135,Longevity regulating pathway - mammal Homo sapiens hsa04211,0.2709972,0.97329396,0.50898206,1.0,77,0.3116883,0.21405774,SESN2;NRAS;NFKB1;EHMT1;PRKAG1;ATG101;PIK3R3;EIF4EBP1;PRKAB1;ATF4;ATF2;ADIPOR1;FOXO1;CREB3L4;RELA;INSR;RPTOR;PRKAA1;PRKACA;PRKAA2;SIRT1;EIF4E2;PIK3CD;PIK3CB
184,Pertussis Homo sapiens hsa05133,0.20303664,0.6607001,0.9682081,1.0,44,0.06818182,0.06694871,RELA;IL1A;IRF8
185,Phagosome Homo sapiens hsa04145,-0.20583877,-0.69560874,0.9664122,1.0,93,0.23655914,0.20767461,ITGB1;TCIRG1;TAP1;TUBA1B;ACTG1;M6PR;ATP6V0B;HLA-DMB;RAB5B;SEC22B;ATP6V1D;TUBA1A;TLR4;DYNC1I1;ATP6V0D1;THBS2;NCF2;ATP6V1A;HLA-DQB1;SCARB1;CYBA;CALR
186,Phenylalanine metabolism Homo sapiens hsa00360,-0.32608256,-0.6910782,0.8336283,1.0,9,0.22222222,0.13226452,ALDH1A3;ALDH3B1
187,Phosphatidylinositol signaling system Homo sapiens hsa04070,-0.33843136,-1.1094096,0.2974589,1.0,78,0.17948718,0.12098271,PIK3R5;PLCD4;ITPR3;IPPK;PLCG1;PIP5K1C;IP6K1;IMPA2;PLCB4;CALM1;CALM3;DGKB;DGKI;DGKQ
188,Phospholipase D signaling pathway Homo sapiens hsa04072,-0.32635775,-1.1436915,0.18958032,1.0,115,0.22608696,0.19275588,GRM6;AKT3;PIK3R5;GAB1;KRAS;GRM1;AKT2;KIT;PLCG1;MAP2K2;AGPAT1;PIP5K1C;GNA13;CXCR2;ADCY9;DNM2;SHC3;EGF;PLCB4;ARF6;SHC4;ADCY1;DGKB;DGKI;FCER1G;DGKQ
189,Phototransduction Homo sapiens hsa04744,0.30307013,0.77809525,0.73923445,1.0,15,0.26666668,0.17316113,CNGA1;GUCA1B;SAG;GUCA1A
190,Platelet activation Homo sapiens hsa04611,-0.27237725,-0.9234944,0.62068963,1.0,94,0.20212767,0.15564463,ITGB1;GNAI1;RASGRP2;LYN;AKT3;PIK3R5;ACTG1;ITPR3;AKT2;ARHGAP35;RAP1B;PRKCI;GNA13;ADCY9;APBB1IP;PLCB4;ROCK2;FCER1G;GUCY1A2
191,Porphyrin and chlorophyll metabolism Homo sapiens hsa00860,-0.6488724,-1.6325243,0.014159292,1.0,19,0.36842105,0.19572479,FECH;GUSB;ALAS1;UROS;HMOX2;EARS2;ALAD
176,Pancreatic secretion Homo sapiens hsa04972,-0.33111984,-1.054061,0.3566879,1.0,59,0.30508474,0.2649744,SCTR;SLC12A2;KCNQ1;ITPR3;RYR2;GNAS;RAP1B;RHOA;ADCY8;ADCY3;ATP2A1;ADCY9;ATP2A2;ITPR2;PLCB4;RAB8A;CPA2;ADCY1
177,Pantothenate and CoA biosynthesis Homo sapiens hsa00770,-0.38083187,-0.9142393,0.5625,1.0,15,0.26666668,0.14703481,BCAT1;DPYD;DPYS;VNN1
178,Parkinson's disease Homo sapiens hsa05012,-0.37032714,-1.2612251,0.11497731,1.0,95,0.17894737,0.13070586,GNAI1;NDUFB8;NDUFB6;NDUFA5;CASP3;CASP9;NDUFA11;UQCR11;NDUFS6;SDHC;COX7A2;NDUFB11;NDUFS2;NDUFV3;PPIF;NDUFB4;COX7B
179,Pathogenic Escherichia coli infection Homo sapiens hsa05130,-0.22885363,-0.6910391,0.92195123,1.0,46,0.13043478,0.103614636,ITGB1;TUBA1B;ACTG1;TUBA1A;TLR4;ROCK2
180,Pathways in cancer Homo sapiens hsa05200,-0.25139478,-0.98117983,0.51435703,1.0,336,0.16071428,0.15660952,ITGB1;MMP9;DAPK2;CTBP1;GNAI1;RASGRP2;ARAF;E2F3;AKT3;PIK3R5;PTCH2;KRAS;CRKL;AKT2;KIT;ERBB2;CASP3;CASP9;STAT1;PLCG1;NCOA4;MAP2K2;MYC;EGLN2;FZD10;GNA13;GLI2;STK4;GNG2;TRAF5;ADCY9;GNB5;WNT2B;PLCB4;BIRC3;IKBKB;FGF8;MECOM;PGF;BMP2;BDKRB1;VEGFA;ROCK2;CTNNA1;NFKBIA;FGF14;RARB;CUL2;GSTP1;RUNX1T1;WNT7B;STAT5B;EPAS1;MAPK9
181,Pentose and glucuronate interconversions Homo sapiens hsa00040,-0.21884212,-0.5176552,0.981982,1.0,14,0.21428572,0.17464559,GUSB;KL;RPE
