,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
7410,Taf1c,75.10545324696471,0.5057541288770431,0.0841904648317579,6.007261391034211,1.886831911339161e-09,7.609989959755362e-09,True
7417,Crispld2,10.89458694954252,-0.6317869460433253,0.2220804878500099,-2.844855719472417,0.0044431543699107,0.0087482417947533,True
7431,Klhdc4,49.95819883580421,0.6578773302699443,0.0968036778588823,6.795995202051919,1.0756735800047703e-11,5.096553662184618e-11,True
7432,Gm20406,19.803553000642417,0.9922658123472484,0.1580315415798184,6.278909908918883,3.4095507670372696e-10,1.446185394468779e-09,True
7436,Car5a,12.98716503704586,-0.8021002062252386,0.2149598741743442,-3.731395030379909,0.0001904223534851,0.000464709198681,True
7437,Banp,14.435137675211603,-0.8893363556549895,0.1893640524114063,-4.6964370709750405,2.647387460033096e-06,8.071393288190165e-06,True
7444,Ctu2,313.98905281230293,-0.73760005390689,0.0461505245261273,-15.98248473837627,1.6926224996343827e-57,3.6498868401487157e-56,True
7447,Aprt,10.147084298733043,-1.0461125742575974,0.2181487656817984,-4.795409091534829,1.623431809520146e-06,5.048110861466627e-06,True
7448,Galns,11.17225285361998,0.7187329955546239,0.205508490367636,3.4973396683946034,0.0004699230875421,0.0010848864626979,True
7453,Spg7,93.59630783598628,-0.618077967472063,0.0748527856128281,-8.257247374453595,1.490702699861777e-16,9.137542521970825e-16,True
7454,Cpne7,11.107316110938088,-2.48942879675303,0.2632057234545317,-9.458110424346732,3.1355804662065078e-21,2.3862067533951008e-20,True
7471,4732419C18Rik,14.146548569184423,1.654533814191541,0.2078024558862104,7.962051300767781,1.6921028819212361e-15,9.782312462492091e-15,True
7477,Gm29773,33.18307795943405,-0.7947757353109887,0.1277982483004562,-6.218987708207511,5.00372498730179e-10,2.096936079030283e-09,True
7478,Nup133,10.97089610167366,1.3300127936466162,0.2368353772974757,5.615769100137694,1.9568983961502025e-08,7.306199648137222e-08,True
7479,Gm45890,36.90466706859176,0.7939055886774926,0.1125983542803314,7.050774354134335,1.7792482607202574e-12,8.789687452959282e-12,True
7481,Taf5l,97.18128260055867,0.982824750158552,0.0712549291445115,13.793077362624183,2.80532761450482e-43,4.356977737341056e-42,True
7485,Cog2,68.6711986575644,-1.642558234548953,0.1046050973444648,-15.70246839061776,1.4546985512648872e-55,3.0393988368602565e-54,True
7486,2310022B05Rik,13.206712870870064,1.7887280375720302,0.224902044766513,7.953364939073976,1.8151264428431263e-15,1.0479673566338922e-14,True
7488,Arv1,58.92399458647447,0.5641411173953907,0.0894467149547766,6.307007671333875,2.8448173573485057e-10,1.2154939151065395e-09,True
7503,Gm45875,43.82367673474226,-1.6149651362218118,0.1129750024026574,-14.294889151370567,2.3548044564727147e-46,3.9257216715724345e-45,True
7506,Tarbp1,115.64723279965024,2.032882126850652,0.0806004573231863,25.22171950835633,2.314706311838764e-140,1.6063326976760435e-138,True
7508,Irf2bp2,11.676827896021557,-5.756910557990059,0.66584085262888,-8.646075913276517,5.330066275120413e-18,3.517441472426633e-17,True
7509,Gm31718,11.896979271062,0.8221561585610911,0.1960637920217789,4.193309484036528,2.7491397193832456e-05,7.468845022925927e-05,True
7511,Rbm34,182.4458648447045,-0.7268323063190978,0.0778330584350515,-9.338349551374868,9.784741347388267e-21,7.297038664525632e-20,True
7517,2610044O15Rik8,23.75432205476331,-0.8799449648112504,0.139295298960282,-6.317118893309914,2.664845680603036e-10,1.1408279378797032e-09,True
7519,Alkbh8,44.195321491942885,-2.6419236009830307,0.1372049382324051,-19.255309867258557,1.2741014785608337e-82,4.196136846906188e-81,True
7521,Gucy1a2,43.61236946526731,-2.012290893808641,0.1247068310897523,-16.136172142489787,1.4208431493304129e-58,3.1137474931692055e-57,True
7524,Msantd4,88.42651393603224,-2.670805088754372,0.0973695725433502,-27.429565715360347,1.218066939538389e-165,1.103707494230432e-163,True
7528,Dync2h1,54.54937878710441,0.5713774866761079,0.0945097967142519,6.045695859484849,1.4876650204177786e-09,6.0432719807354505e-09,True
7530,Birc2,454.1075384509241,1.415233445174757,0.1161211204117042,12.18756278063014,3.6208902850904072e-34,4.3580267932320046e-33,True
7531,Birc3,82.81374282712567,-1.522574330148639,0.0851729510464348,-17.876266014530326,1.8053019157311765e-71,5.075742749567012e-70,True
7535,Cfap300,25.09364152860033,0.645477830199806,0.1349083923255812,4.784563947971758,1.7135893595418036e-06,5.316170076222647e-06,True
7541,Jrkl,11.4253285281307,0.948509001872953,0.2051850520454666,4.62270030110563,3.7877677310188023e-06,1.1348377947585545e-05,True
