,score,score,score,score,score,score,norm,norm,norm,norm,norm,norm,pval,pval,pval,pval,pval,pval
,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
source,,,,,,,,,,,,,,,,,,
Dopaminergic synapse Homo sapiens hsa04728,0.5228008,0.25488618,0.3774882,0.21907018,0.63509136,0.61921316,0.88011795,0.85318047,0.91103697,0.7483869,0.9952005,1.0152782,0.847,0.74698794,0.759,0.9204368,0.536,0.347
Dorso-ventral axis formation Homo sapiens hsa04320,0.5063203,-0.278559,0.4556343,0.371124,0.69881934,0.6825988,0.8305492,-0.73519224,0.9928365,0.9162057,1.0318075,1.0496308,0.79058117,0.81405896,0.51560926,0.5790408,0.356,0.304
Drug metabolism - cytochrome P450 Homo sapiens hsa00982,0.7992963,-0.31304005,0.3958637,0.43063098,0.6656563,0.6642878,1.3233277,-0.8621016,0.8790979,1.1185057,0.98843807,1.0308737,0.05305305,0.6551724,0.7174571,0.32363012,0.541,0.338
Drug metabolism - other enzymes Homo sapiens hsa00983,0.8319337,0.28074786,0.41840512,-0.48156902,0.8132293,0.8039903,1.3731196,0.6946331,0.9064289,-1.2759687,1.2018275,1.2319533,0.038038038,0.84775084,0.671748,0.17551963,0.018,0.014
ECM-receptor interaction Homo sapiens hsa04512,0.5501862,-0.34023872,0.36674252,0.25420576,0.6208827,0.58357525,0.93199974,-1.1692492,0.8707877,0.80245036,0.9625188,0.94494754,0.668,0.19008264,0.808,0.8177258,0.765,0.85
Endocrine and other factor-regulated calcium reabsorption Homo sapiens hsa04961,0.58145374,-0.3942064,0.5088249,-0.23727077,0.6470819,0.6114203,0.9659412,-1.1646886,1.1438599,-0.6768038,0.97143936,0.95706475,0.559,0.26442307,0.25651303,0.9340909,0.644,0.698
Endocytosis Homo sapiens hsa04144,0.6484289,0.2709311,0.37165657,0.3153831,0.6316219,0.608894,1.1067505,0.98849976,0.9118587,1.1826617,1.0024269,1.0113261,0.109,0.47106326,0.826,0.14934114,0.454,0.36
Endometrial cancer Homo sapiens hsa05213,0.6685687,0.2675586,0.41405362,-0.25304675,0.63760555,0.612196,1.1205516,0.79015684,0.9552928,-0.8181801,0.9722666,0.97583425,0.228,0.78013027,0.613,0.7832512,0.664,0.645
Epithelial cell signaling in Helicobacter pylori infection Homo sapiens hsa05120,0.61184824,-0.17064527,0.3935898,0.2584906,0.65541095,0.6273465,1.0286403,-0.57107824,0.92660654,0.7906523,1.0142782,1.012773,0.418,1.0,0.681,0.80463576,0.392,0.397
Epstein-Barr virus infection Homo sapiens hsa05169,0.57180476,-0.2131401,0.3972345,0.24094807,0.63608366,0.60955334,0.9726936,-0.8297784,0.96916187,0.87029403,1.0063707,1.0091293,0.612,0.8740741,0.632,0.7474452,0.404,0.391
ErbB signaling pathway Homo sapiens hsa04012,0.6467763,0.35560358,0.3501363,0.26722354,0.5863996,0.5692942,1.0908867,1.1160061,0.8249202,0.86377543,0.91227275,0.92646635,0.239,0.28369907,0.879,0.70552146,0.978,0.939
Estrogen signaling pathway Homo sapiens hsa04915,0.5731847,-0.23819655,0.47373697,0.24882036,0.61341774,0.5849622,0.97325915,-0.84999627,1.1270604,0.7971534,0.95318407,0.94967604,0.567,0.76785713,0.188,0.8436019,0.84,0.849
Ether lipid metabolism Homo sapiens hsa00565,0.5161713,-0.23201123,0.532569,-0.4150008,0.5791252,0.54426885,0.8601727,-0.6559883,1.1797093,-1.1720827,0.8695848,0.85090274,0.767,0.9282407,0.20866935,0.23021583,0.952,0.969
Fanconi anemia pathway Homo sapiens hsa03460,0.7297149,-0.31465974,0.34162915,0.37266508,0.65388733,0.6225649,1.2211499,-0.9928318,0.7882783,1.0977832,0.9989179,0.990578,0.081,0.48157248,0.8578579,0.32124352,0.503,0.552
Fat digestion and absorption Homo sapiens hsa04975,0.695886,0.5389022,0.541044,0.3283555,0.7732019,0.7120534,1.1406759,1.2367805,1.12889,0.7517058,1.1242487,1.0707897,0.286002,0.22429906,0.3185567,0.7758621,0.11411411,0.24824825
Fatty acid degradation Homo sapiens hsa00071,0.47861773,-0.24688584,0.35902256,-0.23397136,0.64797264,0.6345392,0.79763705,-0.73982203,0.81978583,-0.70795673,0.9770619,1.0000083,0.879,0.8581731,0.81444335,0.8942731,0.615,0.473
Fatty acid elongation Homo sapiens hsa00062,0.58633846,0.25806114,0.47560573,-0.20218779,0.5542754,0.513013,0.9441077,0.60138303,1.0100522,-0.49877116,0.80631393,0.773891,0.5887663,0.92321426,0.5005149,0.99571735,0.9689379,0.98697394
Fatty acid metabolism Homo sapiens hsa01212,0.47972122,0.23823093,0.43993783,0.23221722,0.6264593,0.6001575,0.79522187,0.6669097,1.009234,0.6665971,0.9521619,0.9510213,0.888,0.91442955,0.486,0.9322917,0.749,0.742
Fc epsilon RI signaling pathway Homo sapiens hsa04664,0.59944206,-0.25412148,0.40196815,-0.21926506,0.60795295,0.572585,1.0031877,-0.80027914,0.92469853,-0.707236,0.93316036,0.9173627,0.483,0.783715,0.669,0.93781096,0.856,0.902
Fc gamma R-mediated phagocytosis Homo sapiens hsa04666,0.58604926,-0.27656022,0.46532506,-0.31043348,0.5972989,0.5680993,0.9889982,-0.94749075,1.0886998,-1.0409431,0.9246504,0.91799676,0.509,0.53333336,0.291,0.3846154,0.932,0.933
Focal adhesion Homo sapiens hsa04510,0.5237032,-0.21508719,0.3665342,0.23937286,0.59558403,0.5749459,0.8956531,-0.86437565,0.8904786,0.86898124,0.94224423,0.9519981,0.874,0.83388704,0.848,0.75074184,0.969,0.926
FoxO signaling pathway Homo sapiens hsa04068,0.6130712,-0.17166463,0.38687462,0.31058845,0.61625534,0.58468634,1.0400603,-0.63023156,0.92410207,1.0542792,0.9678731,0.96095276,0.36,0.9971989,0.738,0.3794643,0.785,0.817
Fructose and mannose metabolism Homo sapiens hsa00051,0.5454241,0.32028282,0.54588294,-0.26935476,0.60914874,0.58954376,0.9012208,0.82158995,1.2193336,-0.75378734,0.9094616,0.91850954,0.684,0.6774744,0.16867469,0.8218263,0.867,0.833
GABAergic synapse Homo sapiens hsa04727,0.51501083,0.33230612,0.4850505,0.16991785,0.6544913,0.61340666,0.8700398,1.0404915,1.1489476,0.54112434,1.0163877,0.99621475,0.837,0.38964993,0.17,0.9967213,0.356,0.494
Galactose metabolism Homo sapiens hsa00052,0.79601014,-0.27066872,0.5067924,0.4390624,0.6639028,0.60153747,1.3178569,-0.7366442,1.1213657,1.1440867,0.98800063,0.93396384,0.06212425,0.85287356,0.29767913,0.26704547,0.514,0.771
Gap junction Homo sapiens hsa04540,0.54387605,-0.2639326,0.4677656,0.20725791,0.626829,0.60391957,0.91784585,-0.89278466,1.0964845,0.63469344,0.9710891,0.9770668,0.692,0.6465517,0.276,0.977707,0.692,0.659
Gastric acid secretion Homo sapiens hsa04971,0.54541206,0.31892028,0.44267213,0.2195149,0.58030593,0.5592274,0.9055384,0.91505605,1.0224499,0.6324638,0.88644236,0.8900374,0.692,0.59159666,0.461,0.9672414,0.966,0.957
Glioma Homo sapiens hsa05214,0.70234627,-0.2212755,0.4839378,0.181805,0.5839613,0.56538343,1.1745799,-0.7150744,1.1177627,0.5419473,0.89704984,0.90678626,0.133,0.9201031,0.243,0.9916388,0.959,0.947
Glucagon signaling pathway Homo sapiens hsa04922,0.52426726,-0.3896696,0.40196398,-0.32533747,0.61631596,0.58589214,0.88215166,-1.4067808,0.9622082,-1.1368986,0.96089214,0.9563063,0.792,0.04057971,0.629,0.22691293,0.805,0.826
Glutamatergic synapse Homo sapiens hsa04724,0.48706138,0.29829183,0.4229059,0.22262162,0.5990119,0.57141244,0.82453567,0.9791916,1.0124024,0.7342961,0.9390776,0.93722475,0.917,0.5067669,0.479,0.9093851,0.915,0.915
Glutathione metabolism Homo sapiens hsa00480,0.7901214,0.2416642,0.33376074,0.38407734,0.660516,0.6525375,1.3211758,0.686818,0.7703049,1.1148927,1.0090563,1.041518,0.03,0.9216028,0.8828829,0.30968857,0.427,0.261
Glycerolipid metabolism Homo sapiens hsa00561,0.6500964,0.4646587,0.35924366,0.36734504,0.5656332,0.55741924,1.0734121,1.3016261,0.8205804,1.0519263,0.85990256,0.8834405,0.337,0.14482759,0.831,0.3773585,0.988,0.96
Glycerophospholipid metabolism Homo sapiens hsa00564,0.5972798,0.21056335,0.2970163,0.32368618,0.5835591,0.5662114,1.0028543,0.6656749,0.69891214,1.0192752,0.9056392,0.92013365,0.48,0.95454544,0.98,0.42255893,0.98,0.953
"Glycine, serine and threonine metabolism Homo sapiens hsa00260",0.77782243,-0.2628086,0.3698507,0.44261983,0.6103723,0.5720396,1.2930129,-0.74026775,0.8301481,1.1478665,0.90839905,0.8904724,0.08708709,0.8388747,0.77386934,0.28877005,0.884,0.912
Glycolysis / Gluconeogenesis Homo sapiens hsa00010,0.7340065,-0.48396042,0.37014687,-0.31184378,0.5955414,0.5695794,1.2250192,-1.5651708,0.8640008,-1.0034665,0.91595083,0.91563,0.061,0.02,0.784,0.43370786,0.933,0.922
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate Homo sapiens hsa00532,0.65394235,-0.4475652,0.31715587,-0.3722142,0.6949209,0.66987514,1.0633866,-1.143424,0.68191355,-0.9434639,1.0218675,1.0186476,0.3763764,0.28473803,0.88379204,0.53246754,0.394,0.413
Glycosaminoglycan biosynthesis - heparan sulfate / heparin Homo sapiens hsa00534,0.5587434,-0.66243786,0.52042866,-0.62246317,0.68157655,0.66130847,0.9219772,-1.771168,1.1493393,-1.6446378,1.0078297,1.0151942,0.6339017,0.0022172949,0.28732106,0.018058691,0.438,0.436
Glycosaminoglycan degradation Homo sapiens hsa00531,0.6035878,-0.56625295,0.586542,0.29505044,0.64132094,0.6191903,0.9842005,-1.359226,1.2203169,0.6698564,0.9273235,0.92957693,0.5116279,0.121559635,0.20944558,0.875,0.77,0.756
Glycosphingolipid biosynthesis - lacto and neolacto series Homo sapiens hsa00601,0.74957573,0.21040034,0.544955,-0.3653883,0.6733764,0.6562057,1.2293693,0.5072786,1.1726689,-0.92550683,0.98661166,0.9989449,0.14844534,0.98178506,0.25846153,0.5730594,0.546,0.506
