,score,score,score,score,score,score,norm,norm,norm,norm,norm,norm,pval,pval,pval,pval,pval,pval
,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
source,,,,,,,,,,,,,,,,,,
Epstein-Barr virus infection Homo sapiens hsa05169,0.56214815,0.29319176,0.28323656,0.2926837,0.49114642,0.41485012,1.0437319,1.058537,0.851834,1.2199386,1.0067596,0.9904984,0.288,0.32844576,0.88,0.11003861,0.433,0.56
ErbB signaling pathway Homo sapiens hsa04012,0.5000837,0.19425145,0.31413183,0.2475263,0.47189227,0.39949977,0.9136507,0.6475901,0.90418625,0.91210854,0.94392806,0.9271528,0.764,0.9579968,0.711,0.61657035,0.781,0.801
Estrogen signaling pathway Homo sapiens hsa04915,0.52412456,0.35446545,0.40900603,0.20874603,0.45770362,0.37579304,0.96029663,1.1752095,1.1814728,0.77255523,0.91634136,0.8725831,0.634,0.21028037,0.133,0.8640777,0.864,0.941
Ether lipid metabolism Homo sapiens hsa00565,0.3983159,-0.23822924,0.38107046,-0.33209947,0.5573088,0.44973588,0.70387733,-0.67257905,0.9967398,-0.9845597,1.0526873,0.968975,0.944,0.8491484,0.51214576,0.4569672,0.319,0.574
Fanconi anemia pathway Homo sapiens hsa03460,0.5069551,0.25496447,0.37977904,0.2799574,0.5130295,0.4376636,0.9186901,0.75002897,1.050402,0.9171277,0.9974516,0.9790257,0.693,0.812601,0.42742744,0.5894539,0.507,0.576
Fat digestion and absorption Homo sapiens hsa04975,0.7959008,0.3956093,0.5303659,0.44899204,0.5708011,0.48478487,1.4016409,1.021054,1.3527082,1.2136012,1.051122,1.0109851,0.015090543,0.43140495,0.068297654,0.20947176,0.339,0.456
Fatty acid degradation Homo sapiens hsa00071,0.6535668,-0.23373854,0.30679038,0.21566997,0.54096496,0.47042277,1.1656039,-0.695473,0.8290088,0.68400764,1.0334973,1.0409648,0.158,0.86538464,0.76884425,0.9025845,0.37,0.377
Fatty acid elongation Homo sapiens hsa00062,0.6838148,-0.45802698,0.34341463,-0.3948839,0.45874456,0.35661116,1.1906145,-1.1931485,0.8420298,-1.0102497,0.83864194,0.73826736,0.19090909,0.2413793,0.7033543,0.45360824,0.8635908,0.9487952
Fatty acid metabolism Homo sapiens hsa01212,0.58607787,-0.3781329,0.39615768,-0.22735327,0.5466511,0.48599267,1.0514512,-1.1723167,1.0887473,-0.73078614,1.0554539,1.0811831,0.37,0.19804402,0.35635635,0.8712274,0.274,0.247
Fc epsilon RI signaling pathway Homo sapiens hsa04664,0.459742,-0.22575957,0.29600233,0.25254592,0.40963036,0.3379655,0.82379895,-0.7268786,0.834667,0.84910446,0.8070468,0.7665634,0.885,0.88832486,0.7955912,0.7323136,0.982,0.991
Fc gamma R-mediated phagocytosis Homo sapiens hsa04666,0.5362052,0.29124472,0.3053432,0.29721856,0.54618376,0.44961423,0.96826327,0.9297558,0.8717987,1.0469785,1.0894195,1.0371526,0.605,0.5590551,0.762,0.378,0.142,0.336
Focal adhesion Homo sapiens hsa04510,0.44792455,0.16525598,0.29794803,-0.16204782,0.47724855,0.4133094,0.8345378,0.6195627,0.8962731,-0.6696703,0.9806971,0.9908347,0.981,0.99558824,0.816,0.9955654,0.649,0.558
FoxO signaling pathway Homo sapiens hsa04068,0.56564075,0.30613783,0.37358695,-0.24418645,0.4388997,0.39431688,1.0395905,1.0799229,1.1005763,-0.9692287,0.8884021,0.9282684,0.36,0.31329113,0.257,0.494,0.964,0.83
