,score,score,score,score,score,score,norm,norm,norm,norm,norm,norm,pval,pval,pval,pval,pval,pval
,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
source,,,,,,,,,,,,,,,,,,
Epithelial cell signaling in Helicobacter pylori infection Homo sapiens hsa05120,0.5816638,-0.20909742,0.3024022,-0.23827738,0.59476864,0.5614018,0.9988871,-0.73191386,0.70366687,-0.77902085,1.0023344,1.0115001,0.491,0.8563218,0.972,0.8234399,0.465,0.405
Epstein-Barr virus infection Homo sapiens hsa05169,0.5716453,0.26970956,0.37989,0.2028926,0.59007794,0.55421674,1.0067742,0.86385167,0.9147871,0.89088744,1.0198976,1.0287839,0.463,0.740944,0.82,0.8299595,0.299,0.236
ErbB signaling pathway Homo sapiens hsa04012,0.5915309,0.26156768,0.33284953,-0.30375096,0.5758308,0.50781715,1.0229162,0.7842699,0.7817538,-1.0407557,0.9803487,0.92792875,0.425,0.79161817,0.943,0.38301045,0.652,0.89
Estrogen signaling pathway Homo sapiens hsa04915,0.5938857,0.34424573,0.4827478,0.21757232,0.5513647,0.51751584,1.0204796,1.0506742,1.1419433,0.8335402,0.94165987,0.9471044,0.416,0.40342858,0.143,0.80701756,0.859,0.811
Ether lipid metabolism Homo sapiens hsa00565,0.4999157,-0.42968285,0.59537286,-0.38591838,0.5864037,0.51580495,0.8445194,-1.3959357,1.3357245,-1.1064285,0.96145546,0.90478337,0.842,0.08438819,0.03006012,0.32025117,0.665,0.85
Fanconi anemia pathway Homo sapiens hsa03460,0.6026457,0.44750348,0.529852,-0.3946428,0.56568855,0.5183423,1.0285062,1.2722927,1.2233962,-1.2375304,0.9476586,0.9248777,0.432,0.16955446,0.09209209,0.1765625,0.786,0.841
Fat digestion and absorption Homo sapiens hsa04975,0.5735011,0.5988822,0.60653806,-0.3363688,0.4959132,0.4505551,0.9544437,1.4670018,1.3203043,-0.8870194,0.79772437,0.77115107,0.6126126,0.06887052,0.058291458,0.63013697,0.985,0.989
Fatty acid degradation Homo sapiens hsa00071,0.7066719,0.33082712,0.49906293,-0.31239104,0.6148019,0.5758415,1.1958228,0.9043449,1.1286305,-0.9405254,1.0129824,1.01558,0.086,0.6394904,0.25425425,0.5315024,0.425,0.412
Fatty acid elongation Homo sapiens hsa00062,0.7263918,0.32917255,0.59051746,-0.45445764,0.6057404,0.53777903,1.1980852,0.7806589,1.2664132,-1.1581227,0.9596315,0.9055028,0.14529058,0.759388,0.12601626,0.2677305,0.63,0.802
Fatty acid metabolism Homo sapiens hsa01212,0.5963305,-0.21566613,0.5116651,-0.32223573,0.59665143,0.56410253,1.0093815,-0.7487253,1.1733724,-1.0043747,0.9910859,1.0019529,0.471,0.8606965,0.166,0.4488189,0.547,0.457
Fc epsilon RI signaling pathway Homo sapiens hsa04664,0.6024748,0.24479944,0.48592862,-0.25624013,0.5602393,0.53707546,1.0274563,0.6838867,1.1192865,-0.8276713,0.9400371,0.9643749,0.404,0.89215684,0.229,0.7664,0.815,0.672
Fc gamma R-mediated phagocytosis Homo sapiens hsa04666,0.6406753,0.23287435,0.37098953,-0.28189012,0.5934486,0.524823,1.1050746,0.68595076,0.8708243,-0.9573255,1.0065407,0.95500004,0.165,0.9067599,0.821,0.5058997,0.442,0.756
Focal adhesion Homo sapiens hsa04510,0.54400486,0.27461,0.35189554,-0.26740488,0.59635055,0.54408807,0.9513499,0.89159155,0.8484305,-1.0209867,1.0328041,1.0134699,0.755,0.6995614,0.948,0.4171123,0.198,0.362
FoxO signaling pathway Homo sapiens hsa04068,0.55490613,0.255126,0.35984823,-0.2735851,0.53925693,0.5166694,0.966357,0.79327375,0.8543081,-0.98157495,0.9261328,0.95141584,0.656,0.8233971,0.893,0.48510638,0.956,0.826
Fructose and mannose metabolism Homo sapiens hsa00051,0.6592567,-0.27102697,0.45829982,-0.5879808,0.6037296,0.57585484,1.1005986,-0.8437526,1.0027195,-1.6146703,0.97355586,0.9916894,0.27427426,0.6492537,0.5055276,0.023450587,0.602,0.514
GABAergic synapse Homo sapiens hsa04727,0.6391625,0.40809327,0.43547735,0.26919326,0.5752767,0.53967756,1.1074064,1.2363734,1.0317785,1.0215125,0.97966117,0.985128,0.158,0.17467761,0.44,0.41791046,0.644,0.569
Galactose metabolism Homo sapiens hsa00052,0.6821044,-0.28283307,0.26853824,-0.524404,0.5497207,0.5127595,1.1402291,-0.8443299,0.58825266,-1.4026874,0.878015,0.87432194,0.223,0.6770428,0.96659917,0.09481216,0.88,0.882
Gap junction Homo sapiens hsa04540,0.66335404,0.3280652,0.4760731,0.2922159,0.5560049,0.5162329,1.1387624,0.98386186,1.1200994,1.0968189,0.9411303,0.9394187,0.101,0.5069606,0.209,0.29943502,0.845,0.83
Gastric acid secretion Homo sapiens hsa04971,0.56078994,0.49198693,0.45957732,0.2904528,0.5571868,0.5399069,0.95949835,1.4148655,1.0570327,1.0183512,0.9396802,0.9741974,0.646,0.054254007,0.357,0.42433235,0.829,0.636
Glioma Homo sapiens hsa05214,0.6171315,0.29000968,0.43729237,-0.34804666,0.5478652,0.51284313,1.054293,0.8300567,1.0023165,-1.1112103,0.92161316,0.922631,0.321,0.73696685,0.51,0.29647437,0.898,0.872
Glucagon signaling pathway Homo sapiens hsa04922,0.54468083,0.276676,0.4261549,-0.1882895,0.552493,0.5247592,0.93692315,0.83350915,0.9993951,-0.6356354,0.94041365,0.95693076,0.73,0.7403509,0.509,0.98312235,0.867,0.773
Glutamatergic synapse Homo sapiens hsa04724,0.6004449,0.45063233,0.45168173,0.33963782,0.55409396,0.525185,1.0397526,1.3931596,1.079241,1.363806,0.9483359,0.9636289,0.326,0.052204177,0.283,0.031034483,0.863,0.758
Glutathione metabolism Homo sapiens hsa00480,0.72392964,-0.25048667,0.26749295,-0.36787522,0.5691767,0.5404571,1.2230132,-0.86819476,0.61057395,-1.1206361,0.9451571,0.9593916,0.045,0.58125,0.980981,0.31353134,0.786,0.704
Glycerolipid metabolism Homo sapiens hsa00561,0.69460595,0.3735784,0.32971504,-0.35967287,0.5680998,0.5107998,1.183629,1.0352488,0.75273407,-1.1115506,0.9415539,0.9066011,0.101,0.43781725,0.913,0.29430893,0.781,0.888
Glycerophospholipid metabolism Homo sapiens hsa00564,0.5998283,-0.32932892,0.42712596,-0.36091614,0.5403462,0.5103043,1.0390747,-1.2254932,1.0069937,-1.2195932,0.920253,0.931602,0.343,0.23015873,0.494,0.15307583,0.942,0.884
"Glycine, serine and threonine metabolism Homo sapiens hsa00260",0.6440151,0.455287,0.44581848,-0.24510472,0.76433295,0.71589214,1.0861124,1.1902343,0.99361277,-0.6984219,1.2483276,1.2451612,0.299,0.24835743,0.51758796,0.88701516,0.002,0.01
Glycolysis / Gluconeogenesis Homo sapiens hsa00010,0.70332617,-0.2993719,0.34866488,-0.5195346,0.66150707,0.61299086,1.2047813,-0.9918264,0.80459994,-1.6605998,1.1074624,1.0982544,0.042,0.35882354,0.876,0.014240506,0.062,0.089
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate Homo sapiens hsa00532,0.57886344,0.2306385,0.4959951,-0.57164216,0.58004636,0.5354678,0.9571945,0.54755557,1.0626537,-1.5041522,0.923873,0.9057717,0.615,0.95721924,0.40464178,0.058064517,0.745,0.801
Glycosaminoglycan biosynthesis - heparan sulfate / heparin Homo sapiens hsa00534,0.64900327,-0.27051812,0.59836483,-0.34927902,0.6413305,0.61336726,1.0880134,-0.81967044,1.3240503,-0.9382677,1.0384183,1.0538565,0.3123123,0.6857143,0.06118355,0.5467742,0.338,0.29
Glycosaminoglycan degradation Homo sapiens hsa00531,0.74875474,0.5213758,0.55858755,-0.27843916,0.6002369,0.57276356,1.2269608,1.2027208,1.180922,-0.6828446,0.9484791,0.9612967,0.10341366,0.24597365,0.23021583,0.8689655,0.657,0.616
