,names,rank,logfoldchanges,pvals_adj
343,Gm49460,12.600980822895277,20.468176,0.24230495500276847
344,Olfr1495,7.858476957733761,20.447197,0.4127334985374595
345,E230034D01Rik,7.850462502006276,20.426344,0.4127334985374595
346,Tspan31,7.842652567741149,20.406023,0.4127334985374595
347,Ttr,7.839254139427546,20.39718,0.4127334985374595
348,Ctsc,7.836031643554682,20.388796,0.4127334985374595
349,Snx4,7.83275343574225,20.380266,0.4127334985374595
350,Nthl1,7.816455494263316,20.33786,0.4127334985374595
351,Triqk,7.812936845448542,20.328705,0.4127334985374595
352,Gm39157,12.510715147046868,20.327812,0.24241071564251146
353,Ppp6r1,11.760295753352095,20.315794,0.26370931296106914
354,Gm26912,7.799812285369433,20.294556,0.4127334985374595
355,2510046G10Rik,7.799030119059982,20.29252,0.4127334985374595
356,Tll1,7.779643830194247,20.242079,0.4127334985374595
357,Gm20163,11.72301017964353,20.17063,0.262305813978629
