,score,score,score,score,score,score,norm,norm,norm,norm,norm,norm,pval,pval,pval,pval,pval,pval
,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
source,,,,,,,,,,,,,,,,,,
Epstein-Barr virus infection Homo sapiens hsa05169,0.56927717,-0.31791192,0.37395978,-0.29613265,0.6902793,0.6753297,1.0088482,-1.063146,0.92440575,-1.0181911,0.99852633,1.0002203,0.451,0.36163175,0.795,0.42751843,0.499,0.481
ErbB signaling pathway Homo sapiens hsa04012,0.54647356,-0.37737533,0.3399101,-0.38626072,0.7074926,0.69275254,0.9551844,-1.164719,0.81483644,-1.1964899,1.009399,1.0131835,0.669,0.22929172,0.926,0.15589887,0.392,0.34
Estrogen signaling pathway Homo sapiens hsa04915,0.55791545,0.31111437,0.47180617,-0.25233063,0.7257201,0.7108037,0.98033017,1.2056233,1.137835,-0.8013513,1.0360795,1.0409324,0.588,0.10967742,0.127,0.8338028,0.151,0.137
Ether lipid metabolism Homo sapiens hsa00565,0.4606941,0.2882262,0.589712,-0.21696092,0.6812573,0.6627707,0.78463393,0.8929257,1.3549854,-0.57964003,0.9451017,0.9422232,0.92,0.6343042,0.021042084,0.9791976,0.817,0.838
Fanconi anemia pathway Homo sapiens hsa03460,0.55612624,-0.45401755,0.4378605,-0.3126246,0.7150825,0.7029156,0.9628582,-1.2869295,1.0256637,-0.8962092,1.0074354,1.0146049,0.632,0.13440861,0.443,0.6200873,0.417,0.374
Fat digestion and absorption Homo sapiens hsa04975,0.73091495,0.39216205,0.54519993,0.49976018,0.7820335,0.7688251,1.2389078,1.1199837,1.2094191,1.3460296,1.0670252,1.0703992,0.091,0.29865772,0.1444333,0.11590297,0.157,0.162
Fatty acid degradation Homo sapiens hsa00071,0.62446856,-0.37993482,0.42624617,-0.31090188,0.7368365,0.7282514,1.0709339,-1.0732441,0.98621243,-0.8681405,1.0315337,1.0451292,0.341,0.35535008,0.53761286,0.6864952,0.271,0.206
Fatty acid elongation Homo sapiens hsa00062,0.6898825,-0.24839085,0.5461228,0.25968,0.7473757,0.73631495,1.1561644,-0.59574646,1.2022371,0.66531783,1.0096459,1.0145079,0.20641282,0.9558174,0.19433199,0.9330254,0.431,0.405
Fatty acid metabolism Homo sapiens hsa01212,0.6078643,-0.2639228,0.44353375,-0.23119801,0.74491006,0.7384551,1.0448847,-0.75745106,1.042875,-0.65436256,1.044729,1.0602988,0.38,0.85468954,0.4144144,0.9521605,0.19,0.115
Fc epsilon RI signaling pathway Homo sapiens hsa04664,0.5081265,0.2587648,0.3453455,-0.38306144,0.6223792,0.6137107,0.87861454,0.89677376,0.8166716,-1.1118466,0.87936634,0.8876634,0.819,0.6533865,0.886,0.30862328,0.999,0.997
Fc gamma R-mediated phagocytosis Homo sapiens hsa04666,0.5523104,-0.24345163,0.44168836,-0.32117784,0.6707399,0.63155967,0.9661011,-0.73852855,1.0571979,-1.0015942,0.9566985,0.9243213,0.63,0.90343076,0.341,0.4420904,0.858,0.986
Focal adhesion Homo sapiens hsa04510,0.5180235,-0.31382704,0.33505493,-0.323921,0.69216496,0.6619031,0.92365444,-1.0624932,0.8239734,-1.1168334,1.0016805,0.9824166,0.872,0.34702703,0.974,0.23255815,0.453,0.772
FoxO signaling pathway Homo sapiens hsa04068,0.60568374,-0.2823442,0.3498652,-0.36913988,0.6575519,0.6410664,1.0657505,-0.90554845,0.85728306,-1.2101038,0.94496405,0.9437164,0.225,0.6604867,0.903,0.14416777,0.966,0.972
Fructose and mannose metabolism Homo sapiens hsa00051,0.59467053,-0.20021603,0.42918217,0.35626882,0.7696328,0.7693383,1.0022495,-0.5263654,0.9746279,1.0096613,1.0601588,1.083757,0.485,0.9917127,0.5579053,0.46195653,0.173,0.123
GABAergic synapse Homo sapiens hsa04727,0.5017213,-0.29126742,0.4536869,-0.24241085,0.67578065,0.661185,0.87519336,-0.8903365,1.0905845,-0.75748014,0.9649676,0.96675295,0.902,0.6720297,0.255,0.872191,0.82,0.802
Galactose metabolism Homo sapiens hsa00052,0.7033207,-0.25786653,0.2570772,0.35658085,0.68890905,0.658247,1.1864557,-0.640986,0.5720801,0.96600276,0.94315463,0.92131406,0.13913915,0.92805755,0.97286433,0.5039788,0.783,0.862
Gap junction Homo sapiens hsa04540,0.55534434,-0.32856777,0.46052015,-0.3822745,0.71769714,0.69947654,0.9723432,-1.0020845,1.1001813,-1.1748493,1.0208756,1.0189494,0.593,0.46455696,0.226,0.21325648,0.285,0.308
Gastric acid secretion Homo sapiens hsa04971,0.5356336,-0.28866762,0.4839995,0.2601609,0.75016904,0.74238676,0.9270075,-0.8304226,1.1426302,0.86095375,1.0578667,1.0727738,0.719,0.7609819,0.167,0.72727275,0.113,0.067
Glioma Homo sapiens hsa05214,0.551578,-0.2661051,0.4036133,-0.28036657,0.68185455,0.65060216,0.9588286,-0.7746593,0.94955915,-0.8382271,0.96456116,0.94230056,0.646,0.8493671,0.664,0.7387518,0.776,0.903
Glucagon signaling pathway Homo sapiens hsa04922,0.5366172,-0.36259967,0.39319253,-0.37439904,0.71921676,0.7052393,0.94176084,-1.1211584,0.95190877,-1.1688758,1.0261072,1.0298451,0.706,0.26092234,0.644,0.21232876,0.221,0.201
Glutamatergic synapse Homo sapiens hsa04724,0.5169621,-0.37325042,0.4866829,-0.23791061,0.695401,0.68484753,0.90680367,-1.1857152,1.1796685,-0.7770241,0.99844146,1.0076368,0.838,0.17497103,0.05,0.88482386,0.5,0.4
Glutathione metabolism Homo sapiens hsa00480,0.6563815,-0.2533729,0.31034222,-0.30870008,0.6748047,0.6571677,1.127316,-0.70221514,0.7194345,-0.8600517,0.9470782,0.9446726,0.195,0.904698,0.9329329,0.70116615,0.852,0.847
Glycerolipid metabolism Homo sapiens hsa00561,0.67957836,-0.36695877,0.40638584,-0.28277168,0.7849562,0.7738613,1.1743853,-1.0406446,0.9471612,-0.8040126,1.1034801,1.1143264,0.106,0.42105263,0.639,0.7776097,0.034,0.026
Glycerophospholipid metabolism Homo sapiens hsa00564,0.5539436,-0.25142685,0.3683518,-0.2957312,0.7465968,0.72923595,0.96710914,-0.78220516,0.8868268,-0.9223203,1.0678546,1.0691186,0.607,0.84436274,0.816,0.6082192,0.044,0.047
"Glycine, serine and threonine metabolism Homo sapiens hsa00260",0.6977833,0.2008772,0.38556847,-0.30598438,0.8170158,0.8147661,1.1802701,0.618085,0.8671737,-0.80792767,1.130783,1.1563048,0.139,0.976,0.7660643,0.76393443,0.026,0.014
Glycolysis / Gluconeogenesis Homo sapiens hsa00010,0.67579794,0.25506526,0.3998859,0.26324844,0.69168013,0.67445743,1.170153,0.8717131,0.9368304,0.86042786,0.9750304,0.97367656,0.082,0.7155172,0.66,0.75652176,0.678,0.692
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate Homo sapiens hsa00532,0.5114731,-0.3977266,0.43214425,0.33077854,0.8337052,0.8230655,0.85712254,-0.9462892,0.9448607,0.85611916,1.1347289,1.141282,0.7727728,0.5606509,0.6095335,0.65984654,0.046,0.044
Glycosaminoglycan biosynthesis - heparan sulfate / heparin Homo sapiens hsa00534,0.540054,-0.5006937,0.5787755,-0.31440908,0.69750255,0.66836476,0.9099073,-1.2679214,1.2964154,-0.8069778,0.9563722,0.93970925,0.699,0.18287373,0.06827309,0.7312704,0.728,0.802
